Name,Diameter
Banachiewicza,33.8
Lorcia,27.0
Santa,39.2
Kutaissi,25.6
Phryne,26.8
Sonja,7.8
Antwerpia,34.7
Deflotte,48.0
Andree,25.3
Quadea,66.0
Nocturna,40.0
Marcelle,27.8
Yvonne,22.8
Luthera,85.5
Arosa,41.9
Pongola,29.5
Scythia,67.5
Halleria,43.2
Hyperborea,57.1
Knopfia,14.1
Vassar,36.3
Paula,11.3
Bronislawa,63.5
Nerina,13.0
Impala,39.7
Majuba,36.3
Tugela,58.4
Inanda,10.7
Losaka,22.5
Namaqua,25.1
Devota,57.1
Eliane,27.5
Spiridonia,55.5
Solvejg,32.1
Marconia,44.1
Lundmarka,31.3
Zeelandia,21.0
Gerarda,38.9
Desagneauxa,23.0
Yvette,25.9
Edmee,27.5
Brabantia,18.0
Nicole,24.4
Potomac,71.8
Gotha,15.1
Patria,32.4
Rosselia,23.4
Uzbekistania,64.9
Wawel,24.0
Maartje,33.8
Botha,48.8
Nyanza,64.7
Khama,50.2
Gaika,20.0
Prieska,52.0
Tarka,29.8
Leuschneria,30.2
Griqua,29.9
Safara,29.3
Piccolo,27.6
Numidia,19.3
Ostanina,41.6
Resi,35.2
Haremari,23.9
Alfreda,23.7
Leonce,18.2
Lomonosowa,21.0
Danubia,24.0
Limburgia,22.3
Kniertje,26.7
Gelria,22.2
Aphrodite,25.2
Onnie,28.1
Abastumani,101.6
Pierre,26.4
Aribeda,20.8
Outeniqua,10.9
Donnera,34.5
Idelsonia,32.6
Ajax,81.6
Sibelius,12.2
Komppa,25.9
Lindelof,21.0
Trusanda,32.5
Isko,35.5
Margret,22.6
Brauna,31.2
Roucarie,21.4
Jerome,17.2
Malautra,14.5
Renauxa,28.9
Fayeta,10.0
Danzig,17.5
Radcliffe,23.8
Esperanto,43.3
Jose,26.1
Sundmania,70.8
Tuorla,14.9
Riviera,15.4
Ruvuma,37.6
Mombasa,56.6
Margot,29.6
Garlena,17.6
Salonta,62.9
Diomedes,164.3
Wendeline,41.7
Vogtia,47.9
Bolyai,14.8
Pannonia,27.6
Lindbladia,20.6
Raimonda,14.9
Fennia,7.3
Saldanha,43.6
Mineura,17.2
Magnya,29.4
Jean-Jacques,33.3
Zamenhof,25.8
Nordenmarkia,44.5
Armisticia,27.5
Mundleria,21.5
Mashona,112.0
Zomba,17.7
Linzia,59.0
Carla,37.0
Tornio,33.0
Ounas,17.6
Bonsdorffia,28.1
Tubingia,33.3
Postrema,44.9
Isa,26.3
Boda,29.2
Attila,30.1
Limpopo,18.6
Balduinus,27.3
Oppolzer,12.3
Sigrid,24.4
Helsinki,18.4
Pori,36.2
Baade,11.1
Arenda,33.2
Kuopio,18.4
Lappeenranta,12.7
Koranna,21.1
Esclangona,8.2
Charlois,23.8
Dalera,15.5
Oulu,82.7
Henry,19.9
Beograd,36.2
Kajaani,26.4
Imatra,53.6
Joensuu,42.8
Savonlinna,12.2
Inari,28.1
Saimaa,26.1
Nasi,22.1
Paijanne,26.7
Transylvania,13.8
Kevola,44.2
Estonia,20.2
Schalen,45.2
Vinterhansenia,21.7
Thernoe,18.7
Palomaa,26.5
Mikko,10.2
Argelander,23.3
Bessel,18.6
Wingolfia,28.6
Jarnefelt,65.1
Strattonia,21.0
Fricke,26.0
Gondolatsch,11.5
Alikoski,67.8
Evita,33.9
Brunonia,16.2
Cesco,34.5
Posnania,33.6
Vaisala,9.8
Meyer,58.7
Fabiola,27.2
Kirkwood,52.4
Herrick,42.7
Abanderada,39.3
Martir,36.8
Antilochus,101.6
Fuji,21.7
Union,50.4
Thiele,16.0
Tsiolkovskaja,13.3
Baize,21.5
Mathieu,13.5
Danjon,11.6
Tanga,22.2
Itzigsohn,49.6
Paloque,13.4
Giomus,39.5
Indiana,12.2
Neva,36.0
Tombaugh,32.3
Milankovitch,32.5
Jekhovsky,26.1
Mavis,12.0
Brenda,29.6
Smiley,21.2
Goldschmidt,46.3
Bardwell,27.8
Filipoff,24.3
Dawn,19.6
Geographos,1.8
Druzhba,9.5
Vivian,34.1
Rabe,28.0
Strobel,57.1
Pecker,9.3
Milet,20.0
Kopff,9.7
Siebohme,26.7
Chimay,36.1
Bohrmann,22.5
Porter,9.2
Swings,45.5
Bower,36.4
Tana,26.1
Hill,26.1
Waterfield,30.6
Menelaus,72.0
Fabre,28.7
Heckmann,29.1
Bojeva,27.0
Comas Sola,30.6
Suomi,8.1
Roemera,9.6
Punkaharju,31.2
Wood,18.1
Granule,14.5
van den Bos,12.1
Felix,29.7
Dagmar,35.8
Minnaert,28.1
Groeneveld,27.4
Simonida,11.1
Kariba,12.3
Hveen,39.9
Nevanlinna,51.2
Per Brahe,14.1
Steinmetz,22.0
Iguassu,26.5
Toro,12.2
De Sitter,36.3
Glarona,33.9
Mayrhofer,31.7
Oort,40.6
Subbotina,36.6
Hertzsprung,38.7
Walbeck,19.6
Christophe,25.0
Zvezdara,20.7
Okavango,29.7
Kalahari,32.7
Barry,9.4
Tapio,10.7
Polit,29.3
Angola,59.5
Sy,19.2
Salli,23.1
Peter,27.1
Jens,18.9
Wells,40.0
Goffin,26.2
Klemola,31.3
Vladimir,34.8
Hoffmeister,26.3
Smuts,54.1
Heike,24.1
Zhongolovich,28.5
ITA,62.3
Floirac,30.1
Severny,26.5
Meyermann,8.7
Giclas,26.2
Schaifers,19.9
Schmidt,17.1
Harriet,14.1
Brouwer,64.2
Wright,6.3
Telamon,81.1
Herget,14.3
Cunningham,79.5
Lorbach,27.9
Naantali,29.0
Sandra,35.9
Cogshall,26.2
Wrubel,42.3
Slipher,24.5
Appenzella,20.9
Makover,56.7
Kuiper,36.0
Kippes,27.9
Schneller,33.1
Albitskij,21.4
Benguella,16.7
Raahe,23.5
Chiny,29.8
Patsayev,25.7
Zoya,18.6
Finsen,37.3
Woltjer,27.1
Riga,73.8
Koussevitzky,23.3
Titicaca,23.2
Dirikis,25.7
Bellerophon,15.4
Gilgamesh,19.2
Imhotep,24.7
Beethoven,30.4
Katanga,15.9
Laputa,48.9
Haworth,22.6
Miller,24.4
Kashirina,27.9
Nicholson,17.8
Mrkos,30.8
Ursa,34.9
Masaryk,40.6
Jarmila,25.7
Bengt,11.4
Stobbe,23.9
Lacroute,16.9
Carpenter,22.9
McElroy,21.1
Kovalevskaya,46.0
Deiphobus,122.7
Agenor,53.8
Marsden,50.3
Hughes,21.0
McCrosky,15.8
Shao,31.2
Rauma,23.8
Skip,11.2
Lowell,20.7
Pakhmutova,33.5
Konoshenkova,25.7
Gondola,18.8
Jakoba,21.2
Larink,17.5
Moravia,27.0
Shaposhnikov,96.9
Adzhimushkaj,29.7
Massevitch,18.2
Pobeda,21.8
Alekhin,17.4
Mikhailov,36.0
Schubart,80.1
Osiris,13.1
Horus,12.3
Lucifer,27.0
Jeffers,6.4
Lugano,24.8
Locarno,13.1
Loretta,30.0
Whipple,33.9
Jablunka,14.0
Iso-Heikkila,29.4
Lick,5.5
Hesburgh,35.5
Chandra,34.0
Guisan,24.6
Dufour,50.3
Bezovec,44.7
Alain,24.4
Sumeria,21.9
Caupolican,26.6
Shura,60.8
Tezcatlipoca,13.0
Fedynskij,38.0
Hopmann,35.5
Plaut,49.5
Kaplan,16.8
Delores,23.6
Shane,25.1
Leverrier,6.8
Hirayama,34.0
Euler,17.4
McCuskey,21.9
Konstitutsiya,50.3
Voloshina,34.8
Heinemann,22.1
van Albada,17.3
Ukko,21.5
West,26.5
Nortia,40.2
Ethel,36.3
Bistro,12.6
Payne-Gaposchkin,27.5
Chalonge,34.3
Lancelot,13.4
Ortutay,44.7
Wirt,7.8
Leningrad,27.3
Chang,25.2
Tamriko,30.4
Gawain,24.5
Rosemary,16.1
Roka,21.4
Thomsen,13.7
Spicer,22.0
Palala,21.6
Aksnes,42.6
Dangreen,33.6
Hubble,34.5
Sazava,22.7
Okayama,19.4
Mizuho,41.2
Sampo,30.5
Magnitka,12.7
Zyskin,17.8
Laverna,22.8
Gudy,22.5
Ilmari,15.6
Otto Schmidt,19.1
Tselina,30.1
Wallenquist,27.7
Irakli,21.1
Mtskheta,19.9
Tyumenia,41.2
Vltava,14.4
Karl-Ontjes,15.8
Tanya,39.3
Evdokiya,18.0
Mayall,7.8
Zhukov,28.7
Priscilla,41.0
Swissair,15.5
Kemerovo,29.5
Simferopol,26.7
Landau,21.8
Marietta,18.0
Blaauw,34.2
Kharadze,29.0
Hadwiger,20.2
Hannibal,46.9
Akiyama,16.8
Underhill,21.5
Wodan,29.5
Kate,22.7
Taiwan,16.8
Kiev,9.1
Oliver,20.4
Platzeck,19.6
Semirot,25.1
Neufang,37.5
Fujian,26.3
Guangdong,17.0
Coubertin,18.0
Uppsala,17.5
Pyatigoriya,30.6
Jackson,51.5
Ellicott,59.2
Shanghai,22.4
Oljato,1.8
Lyyli,25.3
Antenor,85.1
Pushkin,38.3
Tianjin,16.4
Carol,25.2
Sichuan,14.8
Kerch,21.8
Eltigen,26.1
Wotho,29.5
Mannucci,39.5
Lermontov,25.3
Sarpedon,94.6
Soyuz-Apollo,29.7
Vittore,44.5
Melnikov,20.5
Steshenko,18.1
Paracelsus,38.9
Tsai,24.9
Alcathous,114.6
Tesla,29.6
Hekatostos,29.3
Bowell,44.2
Kanda,25.1
Yamamoto,48.0
Tikhov,26.4
Qinghai,22.9
Viipuri,23.5
Sofievka,21.0
Neoptolemus,71.7
Shaanxi,20.7
Sabrina,27.5
Tchaikovsky,46.9
Agassiz,16.0
Efremiana,22.9
Kiso,32.3
Barto,15.5
Kevo,34.6
Matusovskij,21.1
Daghestan,25.8
Slavia,11.9
Bauschinger,21.3
Garuda,41.2
Schilt,17.6
Mr. Spock,21.3
Olshaniya,32.7
ElLeoncito,53.1
Duboshin,54.9
Aruna,15.5
Czechoslovakia,23.4
Blarney,38.8
Luznice,17.7
Kitt Peak,16.0
Tololo,40.9
Robeson,14.1
Ontake,33.0
Parvulesco,20.7
Kalm,29.6
Porthan,21.6
Boubin,25.2
Fucik,26.6
Kurchenko,21.5
von Lude,14.7
Nei Monggol,17.0
Hirons,45.9
Phereclos,94.9
Cebriones,81.8
Seillier,22.3
van Altena,13.4
Proskurin,22.8
Martynov,37.9
Pannekoek,32.3
Heiskanen,31.6
Landi,12.0
Nikonov,12.7
Nezarka,22.7
Suzuki,48.7
Nadeev,56.0
Welch,25.4
Astapovich,20.8
van de Hulst,22.8
Vibeke,31.8
Sharonov,27.8
Nininger,38.9
Simonov,24.0
Kamenyar,28.5
Soomana,10.0
Ulugbek,20.4
Hibbs,9.9
Tomeileen,30.9
Sholokhov,30.2
Ioannisiani,35.0
Wabash,45.7
Palamedes,91.7
Veniakaverin,24.0
Spellmann,23.7
Clavel,24.1
Sterpin,10.9
Nordenskiold,20.0
Wilson,19.9
Golson,24.6
Repin,9.5
Ruby,17.8
Andersen,21.3
Sodankyla,20.0
Guinevere,44.2
Parenago,12.3
Bussolini,13.6
Kutuzov,23.4
Inge,55.6
Nummela,16.5
Patterson,18.0
Tavastia,11.8
Baetsle,16.7
Taiyuan,24.5
Orma,47.5
Triglav,20.5
Ryba,23.6
Budovicium,31.4
Cambridge,19.1
Houzeau,31.2
Calpurnia,27.6
Gubarev,9.2
Libitina,18.2
Svoboda,25.5
Chaliapin,24.5
Boyarchuk,29.5
Elba,24.5
Madeline,28.1
Porphyro,28.0
Bulgaria,18.8
Harimaya-Bashi,28.9
Fatyanov,18.8
Turkmenia,11.8
Gudiachvili,32.3
Bologna,22.7
Marshak,18.0
Plzen,28.2
Lesya,9.0
Jiangxi,52.6
Coonabarabran,32.6
Goto,46.5
Zhejiang,34.0
Guizhou,29.1
James Bradley,39.9
Bobrovnikoff,19.6
Daphne Plane,15.6
Abetti,22.4
Oongaq,33.1
Principia,20.5
Ristenpart,20.5
Guangxi,40.7
Millis,26.5
Wasserman,10.3
Kandinsky,10.5
Everhart,13.1
Gramme,39.3
Oikawa,23.3
Pisek,20.2
Pandarus,97.9
Joan,20.6
Tortali,11.9
Halley,21.5
Ristiina,20.1
Christabel,14.6
Magion,20.2
Albina,51.5
Wu,9.7
Ueferji,26.5
Sagan,20.2
Mielikki,13.1
Handley,26.0
Pyotr Pervyj,9.3
Orlov,19.7
David Bender,40.1
Kotelnikov,34.0
Yatskiv,15.5
Urumqi,19.0
Cucula,50.9
Hasek,22.5
Taguacipa,13.6
Tsoj,26.0
Gibson,21.1
Cesky Krumlov,31.6
Campbell,20.0
Duncan,17.9
Crisser,19.4
Idomeneus,61.0
Kacha,57.9
Eddington,32.3
Dinant,46.6
Tenojoki,35.6
Leonidas,26.8
Valdaj,27.7
Teucer,111.1
Justus,18.1
Yrjo,22.8
Graz,20.1
Zappala,32.6
Pien,21.9
Ensor,13.3
Crosby,17.7
Ahti,36.7
Bobhope,38.2
Ryoma,25.2
Yeti,10.4
Ylppo,28.1
ASP,25.2
Shklovskij,17.7
Roser,24.0
Soderblom,16.7
Laurel,14.7
Upupa,25.3
Schober,19.6
Gentelec,14.7
Likhachev,37.0
Shimizu,28.2
Nihondaira,18.5
Filipenko,56.1
Peiroos,87.5
Millman,16.9
Caltech,58.0
Shimoyama,29.4
Hoshi-no-ie,26.0
Automedon,111.0
Dikan'ka,12.0
Epstein,33.0
Kempchinsky,48.7
Amber,20.6
Aristophanes,27.4
Zanstra,21.1
Rousseau,13.3
Perepadin,49.0
Tatsuo,25.6
Scholl,34.1
Vladisvyat,31.2
Lautaro,38.4
Murmansk,30.0
Poltava,30.9
Chaucer,27.2
Mrinalini,20.5
Sarabhai,18.0
Imago,14.5
Wendy,10.6
Taratuta,16.6
Bowman,22.1
Koncek,28.3
Livadia,11.1
Coventry,6.1
Minsk,64.1
Dobrovoleva,11.0
Petrovic,15.8
Hainan,35.6
Higson,52.1
Sarastro,21.3
Zhangguoxi,25.6
Evans,23.0
Krat,42.4
Alku,18.9
Saltykov,21.7
Moliere,20.4
Nantong,16.2
Herzen,15.2
Strugatskia,25.1
INAG,17.3
Cook,26.5
Wren,25.0
Makhaon,116.1
Horrocks,29.9
Dzhalil,16.6
Oujianquan,33.7
Herodotus,35.1
Chukokkala,22.5
Tacitus,25.0
Durer,22.3
Machin,22.9
Baily,18.0
Claytonsmith,32.9
Bagration,31.0
Landgraf,39.0
Kostinsky,50.0
Shantou,41.7
Stellafane,24.8
Buchar,36.0
Brosche,28.2
Samantha,29.0
Grechko,51.5
Tosa,28.4
Jones,33.2
Ellington,27.7
Novikov,29.8
Beadell,12.5
Prast,19.1
Klondike,12.0
Babcock,12.3
Lomnicky Stit,25.1
Wangshouguan,47.3
Netto,17.6
Paolicchi,33.9
Shimanto,27.5
Dalian,17.0
Elliot,25.2
Dorsey,18.8
Weissman,21.6
Phaethon,5.1
Sijthoff,22.7
Spinrad,19.6
Louispharailda,32.5
Makarenko,29.5
Liller,29.9
Forsius,24.5
Irkutsk,31.1
Vampilov,23.4
Hergiani,30.0
Victorplatt,25.9
Timresovia,15.6
Yeshuhua,20.6
Di Martino,13.7
Farinella,37.5
Daguerre,24.4
Brownlee,37.5
Vizbor,18.1
Bounty,20.9
Drukar,33.2
Oberndorfer,16.0
Behounek,32.4
Skorina,12.6
Ruth Wolfe,8.6
Massandra,11.2
Athabasca,13.5
Patsy,27.1
Podobed,24.0
Pedersen,32.7
Herzberg,23.5
Paris,116.2
Avsyuk,18.2
TARDIS,29.7
Treshnikov,32.8
Tarkovskij,24.2
Gerla,34.2
Jarvis,9.8
Duncombe,35.2
Oishi,12.9
Sinzot,18.7
Muazzez,37.6
Daiwensai,22.3
Omsk,13.6
Danby,32.5
Izvekov,27.2
Guth,33.0
Yashin,26.8
Pinson,17.8
Mandelshtam,17.4
Yaronika,12.8
Amelin,29.6
Fichte,30.8
Dongguan,31.5
Fanale,14.9
Barucci,13.7
Olegiya,20.8
Becker,33.3
Jeffbell,24.7
Eurybates,72.2
Amun,2.5
Chenqian,29.9
Devine,32.7
Talthybius,68.9
Wuyeesun,17.0
Milanstefanik,38.9
Carestia,62.4
Aisha,25.4
Vladimirskij,19.8
Saucier,26.3
Tumilty,58.1
Sigyn,35.2
O'Meara,13.1
Williams Bay,31.5
Frieden,35.1
Dermott,30.7
Kunming,28.2
Lazarev,26.8
Holman,23.8
Welther,19.3
Berry,12.4
Derdenye,10.2
Antoku,17.0
Dzus,28.6
Sharon,45.2
Trubetskaya,17.2
1974 FV1,77.8
Polypoites,99.0
Kenrussell,11.1
Annenskij,14.2
IRAS,19.5
Hurban,26.3
Hancock,49.3
Horn-d'Arturo,15.8
Belinskij,26.7
Kiang,21.5
Kathleen,53.2
Piironen,32.1
Vartiovuori,23.6
Chopin,28.5
Leonteus,86.5
Tuchkova,35.5
Lidaksum,34.0
Konig,23.2
Gorlitsa,10.2
Gunma,24.3
Pasasymphonia,6.3
Akirafujii,15.2
Earhart,11.0
Wichterle,23.7
Nanjingdaxue,20.5
Yoritomo,27.8
Chao,47.1
Fukushima,20.4
Maeva,22.0
Heather,20.1
Tret'yakov,41.9
Edshay,12.3
Toatenmongakkai,11.4
Huruhata,30.5
Gerasimenko,23.2
Sugie,23.5
Arthurcox,11.0
Shekhtelia,28.9
Herran,13.2
Voronikhin,29.3
Lise,26.2
Klepesta,26.7
Brorsen,19.2
Stodola,22.6
Sakiko,16.4
Ayashi,13.7
Aristarchus,16.5
Sandler,16.2
Drobyshevskij,18.1
Heizman,36.8
1986 WD,68.6
Noragal',19.8
Deipylos,79.0
Martelli,19.0
Euforbo,102.2
Menestheus,62.3
Podalirius,86.9
Bennett,22.6
Chahine,12.9
Rufino,11.2
Keats,25.3
Hrabal,48.6
Carlin,6.7
Herriot,19.8
Bartok,10.5
Branham,34.7
Nintanlena,14.9
Vladvasil'ev,24.7
Weber,18.2
Izu,21.0
Freeman,17.3
SAF,23.4
Celsius,33.1
Sudek,30.0
Tamashima,27.2
Breysacher,24.7
Sweitzer,18.4
Orosz,29.8
Briggs,25.6
Rosniblett,31.4
Nancita,8.5
Susa,34.5
Damiaan,30.9
van den Bergh,37.7
Fireman,13.3
Lidov,32.7
Nankivell,18.1
Perun,19.6
Aoba,24.6
Jorgenunez,18.9
Bouchet,20.0
Pronik,19.4
Garibaldi,49.5
Ries,14.7
Milton,11.5
Verona,5.2
Freud,16.6
Tetsuya,19.0
Tiburcio,26.1
Marathon,12.4
Venikagan,30.6
Pillmore,20.9
Voigt,12.6
Snelling,24.4
Uenohara,20.4
Sesostris,12.1
Arkhipova,25.0
Holeungholee,28.8
Ortizmoreno,30.7
Sykes,24.9
Garcia,14.7
Sobinov,30.0
Bihoro,39.9
Sergeev-Censkij,18.3
Sif,21.3
1988 AK,92.9
Bambery,8.3
Naitomitsu,20.7
Pascal,18.6
Okamura,19.3
Rembrandt,9.1
Britastra,22.1
Phoinix,62.8
Massachusetts,24.3
Fanynka,24.5
Poleungkuk,15.4
Piestany,24.5
Consolmagno,17.6
Pizarro,27.6
Zadunaisky,29.0
Tentaikojo,13.1
Tirion,12.3
Falta,28.8
Takuboku,35.7
Ennomos,80.8
Iwaizumi,28.8
Kaneko,18.1
Xingmingzhou,25.1
Froeschle,29.8
Aretta,15.6
Hartley,36.7
Frankdrake,28.8
Wasson,11.3
Petrpravec,17.6
Hakuhou,7.3
Terebizh,30.0
Baldwin,35.2
Meges,85.7
Thoas,86.7
Medon,67.8
Bickerton,24.2
Otaynang,27.8
Megantic,25.9
Shcherban',25.3
Praetorius,18.9
Zoser,21.9
Rostropovich,11.9
Rephiltim,31.2
Edolsen,9.7
Glia,30.7
Showa,25.1
Roccapalumba,33.8
Bechmann,28.5
1986 TS6,57.8
Brubeck,16.5
Sanguin,15.4
Manara,26.2
Escalante,8.8
Axford,13.0
Benfranklin,18.3
Westerhout,13.6
Phillipadams,25.2
Gierasch,28.1
Yoichi,16.6
Charleseliot,10.2
Ioffe,22.0
Loral,18.8
Maca,34.3
Yoko,9.0
Giza,22.2
Senrikyu,12.4
Awa,20.3
Jancis,12.3
Aizman,26.5
Hamatonbetsu,22.1
Bliskunov,20.3
Albanese,18.5
Hildebrand,34.2
Tamyeunleung,18.4
Somerville,22.8
Bhanji,28.3
Mickiewicz,22.6
Shaklan,19.9
Diefenbach,8.3
1989 DJ,74.5
Demokritos,15.6
Neukum,15.4
Polybius,20.6
Javiergorosabel,7.4
1980 PB3,29.0
Tunis,39.5
Makino,26.0
Pyatnitskij,14.3
1987 DG6,16.1
Kant,12.3
Livesey,9.3
1989 VC2,22.5
Sergerasimov,15.8
McEwen,12.4
Billward,23.5
Barker,19.4
1981 EN,12.1
Leviathan,13.6
1983 EV,15.7
Bagnulo,15.4
Osipovyurij,20.2
